State_name, county_name,CrimeRate,PopulationDensity(P/sqMi),Median_Age_ACS_14_18,Poverty%2018
Kentucky,McCracken county,152,262.45,42.1,0.15
NorthCarolina,Pasquotank county,152,174.01,38.2,0.15
Alabama,Autauga county,149,92.86,37.8,0.15
Michigan,Tuscola county,144,66.3,44.4,0.15
Alabama,Coffee county,142,75.54,39.3,0.15
Ohio,Marion county,141,161.84,41.3,0.15
Texas,Gonzales county,135,19.37,36.5,0.15
Washington,Mason county,134,65.28,45.6,0.15
Maine,Penobscot county,132,44.67,42.1,0.15
Michigan,Marquette county,131,37.02,39,0.15
Michigan,Branch county,120,86.07,41.3,0.15
Texas,Gray county,116,24.5,36.6,0.15
Texas,DeWitt county,112,22.48,40.9,0.15
Iowa,Wapello county,111,81.78,39.3,0.15
NewYork,Fulton county,110,108.47,43.8,0.15
Texas,Atascosa county,109,40.04,35.4,0.15
Missouri,Ray county,106,40.13,41.8,0.15
Texas,Hockley county,106,25.5,33.5,0.15
Michigan,Sanilac county,104,42.99,45.1,0.15
Missouri,Laclede county,103,46.43,40.4,0.15
WestVirginia,Harrison county,98,163.96,42.3,0.15
Texas,Hutchinson county,96,24.31,37.3,0.15
Arkansas,Carroll county,94,44.26,44.8,0.15
NorthCarolina,Yadkin county,92,112.49,44.1,0.15
NewYork,Allegany county,92,45.69,38.8,0.15
NewYork,Delaware county,87,31.55,47.5,0.15
NorthCarolina,Pender county,86,67.85,42.9,0.15
Alabama,Cherokee county,86,46.69,45.9,0.15
Kansas,Ellis county,86,32.09,32.6,0.15
Michigan,Hillsdale county,85,76.62,42.2,0.15
WestVirginia,Jackson county,83,62.49,43.4,0.15
Michigan,Mason county,82,58.34,46.1,0.15
Utah,Cache county,79,105.03,25.1,0.15
Oregon,Crook county,74,7.5,47.8,0.15
WestVirginia,Marshall county,73,103.61,45.2,0.15
Indiana,Jennings county,73,73.63,39.7,0.15
Virginia,Halifax county,73,42.53,46.1,0.15
Idaho,Bonner county,69,24.62,47.8,0.15
Texas,Panola county,68,29.24,39.3,0.15
Kentucky,Clark county,64,142.09,42.2,0.15
Michigan,Otsego county,62,47.38,44.7,0.15
Texas,Hill county,60,36.92,42.1,0.15
Ohio,Washington county,58,96,44.1,0.15
Ohio,Crawford county,57,104.59,43,0.15
Texas,SanJacinto county,57,48.87,44.7,0.15
Illinois,Richland county,54,44.12,41.9,0.15
Texas,Nolan county,54,16.41,38.5,0.15
Indiana,Miami county,53,96.03,40,0.15
Georgia,Oglethorpe county,53,33.68,42.1,0.15
Missouri,Dallas county,53,30.51,43.5,0.15
Virginia,Pittsylvania county,50,63.65,46.7,0.15
Nebraska,Madison county,50,61.4,36.8,0.15
Missouri,Saline county,47,30.58,38,0.15
Tennessee,Smith county,46,61.91,40.7,0.15
Washington,Stevens county,46,17.84,46.6,0.15
Texas,Moore county,45,24.23,30.2,0.15
Alabama,Crenshaw county,45,22.77,41.5,0.15
Missouri,Madison county,43,24.69,42.1,0.15
Oregon,Baker county,43,5.21,48.2,0.15
Tennessee,Trousdale county,40,83.83,36,0.15
Texas,Karnes county,40,20.58,34.7,0.15
Missouri,Linn county,40,19.8,42.1,0.15
Indiana,Scott county,38,124.7,40.7,0.15
Oregon,Morrow county,38,5.52,38.4,0.15
Nevada,Lander county,38,1.05,37.2,0.15
Michigan,Crawford county,37,24.87,50.5,0.15
Georgia,Towns county,36,68.55,53.7,0.15
Virginia,Wythe county,36,62.66,44.9,0.15
Illinois,Fulton county,36,40.92,43,0.15
Illinois,Mason county,36,25.55,45.3,0.15
Missouri,Macon county,36,19.04,43.3,0.15
Oregon,Union county,36,12.78,39.6,0.15
Michigan,Cheboygan county,34,35.59,50.7,0.15
Illinois,Ford county,34,27.59,43,0.15
Kentucky,Simpson county,33,77.12,39.5,0.15
Missouri,Livingston county,33,28.32,40.3,0.15
Michigan,Missaukee county,32,26.57,43.7,0.15
Florida,Glades county,32,16.58,47.2,0.15
Ohio,Hardin county,31,67.05,35.5,0.15
Virginia,Carroll county,29,62.65,47.4,0.15
Texas,Bandera county,29,27.51,52.1,0.15
Georgia,Jones county,28,72.47,40.1,0.15
Iowa,Floyd county,28,31.68,43.9,0.15
Mississippi,Itawamba county,25,44.07,40,0.15
Indiana,Crawford county,25,34.62,43.6,0.15
Oregon,Tillamook county,25,23.65,48,0.15
Georgia,Heard county,23,39.45,41.5,0.15
Virginia,Buckingham county,22,29.33,42.7,0.15
WestVirginia,Gilmer county,21,24.24,39.7,0.15
NorthCarolina,Perquimans county,20,54.47,49.6,0.15
Washington,Klickitat county,19,11.43,46.6,0.15
Michigan,Ontonagon county,19,4.55,58.1,0.15
Tennessee,Houston county,18,40.82,43.7,0.15
Arkansas,LittleRiver county,18,23.33,42.6,0.15
Washington,PendOreille county,17,9.44,50.6,0.15
Utah,Sanpete county,16,18.47,31.9,0.15
Minnesota,Stevens county,15,17.36,33.3,0.15
Virginia,Covingtoncity,14,1020.48,42.8,0.15
Missouri,Carroll county,14,12.73,43.1,0.15
Arkansas,Prairie county,14,12.72,46.2,0.15
Iowa,Monona county,13,12.67,46.5,0.15
Kansas,Barber county,13,4.17,43.8,0.15
Minnesota,Wadena county,11,25.45,41.5,0.15
Arkansas,Calhoun county,11,8.28,45.5,0.15
Montana,Beaverhead county,10,1.69,42.1,0.15
Montana,Phillips county,10,0.8,47.2,0.15
Texas,Castro county,9,8.71,35.3,0.15
Kentucky,Larue county,8,54.13,40.8,0.15
Iowa,Wayne county,8,12.21,43,0.15
Missouri,Schuyler county,7,14.65,39.3,0.15
Missouri,Scotland county,6,11.22,37.5,0.15
Colorado,Custer county,6,6.28,58.4,0.15
Kentucky,Gallatin county,5,85.97,38.9,0.15
Kentucky,Hickman county,5,18.85,46.6,0.15
Texas,Sherman county,5,3.31,40.4,0.15
Texas,Shackelford county,4,3.62,43,0.15
Missouri,Worth county,2,7.65,47.9,0.15
Texas,Reagan county,2,3.19,31.4,0.15
Montana,Meagher county,2,0.82,45.9,0.15
Montana,GoldenValley county,2,0.62,56,0.15
Texas,Terrell county,2,0.37,51.9,0.15
Vermont,Essex county,1,9.36,50.4,0.15
Nebraska,Pawnee county,1,6.21,50,0.15
Texas,Coke county,1,3.59,50.3,0.15
SouthDakota,McPherson county,1,2.08,50,0.15
Texas,Irion county,1,1.45,44.1,0.15
Mississippi,Union county,0,68.23,38.2,0.15
Indiana,Vermillion county,0,60.57,43.1,0.15
Mississippi,Carroll county,0,16.12,47,0.15
Nebraska,Brown county,0,2.45,51.1,0.15
Texas,Schleicher county,0,2.34,35,0.15
Oregon,Wallowa county,0,2.2,52.6,0.15
Texas,Briscoe county,0,1.72,46.3,0.15
Texas,Throckmorton county,0,1.72,46.6,0.15
Montana,Wibaux county,0,1.32,46,0.15
Oregon,Lake county,0,0.96,49.1,0.15
Nevada,Clark county,15983,271.38,37.1,0.14
Kentucky,Jefferson county,4676,2016.57,38.1,0.14
Colorado,Denver county,4309,4532.05,34.4,0.14
NewYork,Erie county,3931,882.2,40.4,0.14
Kansas,Sedgwick county,3691,513.34,35.2,0.14
NewYork,Monroe county,2443,1132.45,38.9,0.14
Florida,Lee county,2432,916.09,48.1,0.14
Minnesota,Ramsey county,2275,3557.54,34.9,0.14
California,Monterey county,1828,132.05,34.1,0.14
Washington,Spokane county,1729,282.28,37.5,0.14
SouthCarolina,Charleston county,1653,430.86,37.6,0.14
NewYork,Onondaga county,1485,596.41,39,0.14
California,SantaBarbara county,1411,162.24,33.7,0.14
SouthCarolina,Spartanburg county,1247,374.04,38.2,0.14
California,SantaCruz county,1120,614.97,37.4,0.14
Indiana,Allen county,1088,562.92,35.8,0.14
NewJersey,Atlantic county,1025,483.24,41.5,0.14
Florida,Bay county,901,240.6,39.4,0.14
Pennsylvania,Luzerne county,838,357.04,43,0.14
Georgia,Hall county,611,498.91,36.3,0.14
Arizona,Yavapai county,527,27.65,52.9,0.14
Illinois,RockIsland county,505,339.71,40.1,0.14
Illinois,McLean county,497,146.38,32.9,0.14
Minnesota,St.Louis county,479,32.03,41.1,0.14
Texas,Hays county,469,301.11,31.6,0.14
Florida,Hernando county,459,386.62,48.9,0.14
Tennessee,Tipton county,414,134.05,37.5,0.14
Ohio,Allen county,407,257.5,39,0.14
NewYork,Rockland county,395,1865.07,36.1,0.14
Montana,Missoula county,394,44.72,35.6,0.14
NewMexico,Sandoval county,341,37.94,39.9,0.14
Texas,Grayson county,336,137.82,39.9,0.14
SouthCarolina,Lancaster county,329,163.06,42,0.14
Illinois,Kankakee county,310,164.16,37.6,0.14
Pennsylvania,Blair county,282,235.53,43.4,0.14
Alabama,Blount county,279,89.4,40.8,0.14
Texas,Orange county,272,251.89,37.8,0.14
Washington,Grant county,259,35.4,32.7,0.14
NorthCarolina,Craven county,257,145.4,36.6,0.14
Tennessee,Dickson county,255,106.12,39.4,0.14
Tennessee,Coffee county,248,127.12,40.1,0.14
Florida,Walton county,230,63.47,43.7,0.14
Texas,Howard county,226,40.71,36.6,0.14
Pennsylvania,Clearfield county,215,70.07,44.7,0.14
Pennsylvania,Lawrence county,200,243.96,45.1,0.14
NewYork,Sullivan county,197,77.69,42.9,0.14
Oregon,Polk county,182,109.92,37.1,0.14
NewYork,Steuben county,174,69.7,42.6,0.14
Iowa,Webster county,173,51.36,39.1,0.14
Kentucky,Hardin county,170,173.43,36.3,0.14
NewYork,Chemung county,169,210.48,41.3,0.14
NorthCarolina,Haywood county,164,109.15,47.6,0.14
Tennessee,Marshall county,162,85.95,39,0.14
Tennessee,Franklin county,158,74.86,41.9,0.14
Missouri,Newton county,150,93.16,39.7,0.14
Wisconsin,EauClaire county,145,161.43,34.4,0.14
Washington,Lewis county,145,32.02,43.1,0.14
Oregon,Linn county,136,53.65,39.7,0.14
NorthCarolina,Stanly county,132,154.68,42.3,0.14
Texas,Cooke county,132,45.24,40.4,0.14
NewYork,Clinton county,128,77.85,39.3,0.14
Kansas,Ford county,128,31.4,31.9,0.14
NewYork,Herkimer county,126,44.28,44,0.14
NorthCarolina,Lincoln county,124,273.35,43.2,0.14
Missouri,Polk county,122,49.64,37.5,0.14
Texas,Brown county,119,40.06,41.3,0.14
Kansas,Cowley county,117,31.62,38.8,0.14
Missouri,Johnson county,105,64.74,30.1,0.14
Texas,Calhoun county,102,43.03,37.7,0.14
Tennessee,Fayette county,101,56.32,45.4,0.14
Arkansas,Cleburne county,94,45.57,49.4,0.14
NorthCarolina,Franklin county,91,132,41.3,0.14
Georgia,Bryan county,91,82.31,34.6,0.14
NewYork,Otsego county,90,60.14,42,0.14
NewYork,Chenango county,90,54.11,44.7,0.14
Tennessee,Giles county,90,47.74,43.4,0.14
Michigan,Alpena county,88,50.03,47.8,0.14
Virginia,Washington county,85,96.98,45.9,0.14
Maryland,Caroline county,84,102.92,40.2,0.14
Ohio,Seneca county,81,100.68,39.4,0.14
Montana,Ravalli county,81,17.53,48.8,0.14
Georgia,Habersham county,80,160.04,39.5,0.14
Texas,Wood county,76,67.91,48.2,0.14
California,Mariposa county,76,12.11,51.4,0.14
Virginia,Winchestercity,75,3009.42,37.3,0.14
Arkansas,Baxter county,75,74.36,52.1,0.14
Wisconsin,Grant county,75,45.19,35.7,0.14
NorthCarolina,Alexander county,72,142.77,43.4,0.14
Pennsylvania,Venango county,72,77.68,46.5,0.14
Minnesota,Cass county,68,14.36,48.9,0.14
WestVirginia,Preston county,67,52.15,42.4,0.14
Colorado,Logan county,67,11.8,38.4,0.14
Kansas,Cherokee county,63,34.6,41.9,0.14
Texas,VanZandt county,62,64.53,42.9,0.14
NorthCarolina,Davie county,61,158.99,45,0.14
Pennsylvania,Mifflin county,61,112.79,43.8,0.14
Pennsylvania,Jefferson county,60,67.57,43.9,0.14
Iowa,Mahaska county,60,38.9,39.7,0.14
Idaho,NezPerce county,59,47.35,40.9,0.14
WestVirginia,Mineral county,58,83.21,43.9,0.14
Montana,Fergus county,58,2.6,46,0.14
Illinois,Stephenson county,56,80.48,45.1,0.14
Texas,Milam county,56,24.25,41.3,0.14
Georgia,Dade county,55,93.27,42.2,0.14
Missouri,Ste.Genevieve county,54,35.8,43.4,0.14
Pennsylvania,Tioga county,51,36.36,44.3,0.14
Georgia,White county,49,120.19,46.1,0.14
Missouri,Audrain county,48,37.18,39.7,0.14
Ohio,Columbiana county,46,195.53,44,0.14
Arkansas,Grant county,46,28.63,40.4,0.14
Texas,Dallam county,46,4.82,31.6,0.14
Idaho,Cassia county,45,9.21,32.2,0.14
NorthCarolina,Transylvania county,44,88.54,50.7,0.14
Illinois,Wayne county,44,23.1,43.3,0.14
NewYork,Cortland county,43,96.49,36.4,0.14
Virginia,Amherst county,43,67.27,44.3,0.14
Texas,Lee county,43,26.95,41.5,0.14
California,Colusa county,43,18.65,35.1,0.14
Florida,Union county,42,62.57,39.5,0.14
Wisconsin,Ashland county,42,15.03,41.8,0.14
Illinois,Williamson county,40,160.18,40.9,0.14
SouthDakota,Brookings county,39,43.22,26.7,0.14
Texas,LiveOak county,39,11.66,42.2,0.14
Vermont,Orleans county,38,38.82,45.8,0.14
Wisconsin,Adams county,38,31.09,53.3,0.14
Idaho,Blaine county,38,8.32,43.2,0.14
Georgia,Union county,37,70.75,53.9,0.14
Illinois,Montgomery county,37,41.22,43.1,0.14
Pennsylvania,Potter county,37,15.66,46.7,0.14
Illinois,Iroquois county,36,25.21,44.5,0.14
NewYork,Lewis county,36,20.96,42,0.14
Texas,Terry county,33,14.19,34.7,0.14
Virginia,Rockbridge county,32,37.67,48.7,0.14
Texas,Montague county,31,20.85,43.4,0.14
Texas,Jackson county,31,17.87,38.5,0.14
Maine,Waldo county,29,54,46.2,0.14
Illinois,Perry county,28,48.41,41.7,0.14
Iowa,Union county,28,29.39,39.9,0.14
Indiana,Cass county,27,92.4,40.8,0.14
Missouri,Randolph county,27,51.68,39.1,0.14
Illinois,Greene county,27,24.34,42.9,0.14
SouthCarolina,Edgefield county,26,53.49,42.7,0.14
Minnesota,Nobles county,26,30.54,35.7,0.14
Wisconsin,Rusk county,26,15.52,49.1,0.14
Arkansas,Newton county,25,9.56,49.1,0.14
Michigan,Luce county,25,7.08,44.7,0.14
Virginia,Essex county,24,42.92,46,0.14
Oregon,Curry county,23,13.83,56.1,0.14
Virginia,Northumberland county,22,63.9,57.3,0.14
WestVirginia,Doddridge county,22,26.7,45.1,0.14
Michigan,Iron county,22,9.61,54.1,0.14
Idaho,Idaho county,22,1.93,50,0.14
Kansas,Brown county,21,16.93,42.2,0.14
Kansas,Wilson county,21,15.39,43.9,0.14
Colorado,Moffat county,21,2.75,37.8,0.14
Kentucky,Woodford county,20,138.24,42.4,0.14
Kentucky,Anderson county,20,110.06,41,0.14
Indiana,Starke county,19,74.21,41.6,0.14
Kansas,Anderson county,18,13.55,41.5,0.14
Texas,Runnels county,18,9.81,40.8,0.14
Missouri,Caldwell county,17,21.22,42.6,0.14
SouthDakota,Moody county,16,12.53,40.4,0.14
Michigan,Baraga county,16,9.47,45,0.14
Illinois,Lawrence county,15,43.5,41,0.14
Missouri,Lewis county,15,19.85,40.3,0.14
Texas,Gaines county,15,13.53,27.9,0.14
Vermont,Lamoille county,14,55.07,40.9,0.14
Texas,Hemphill county,14,4.48,35.2,0.14
NewYork,Schuyler county,13,54.8,46.2,0.14
Illinois,Cumberland county,13,31.4,42.6,0.14
Wisconsin,Langlade county,13,22.01,48.2,0.14
Iowa,Clarke county,13,21.53,39.5,0.14
Texas,Bosque county,13,18.44,46.7,0.14
Indiana,Greene county,12,59.53,42.9,0.14
Mississippi,George county,12,49.53,36.3,0.14
Missouri,Howard county,12,21.8,39.3,0.14
Michigan,PresqueIsle county,12,19.43,54.7,0.14
Texas,Callahan county,12,15.31,42.9,0.14
Texas,Bailey county,12,8.58,33.5,0.14
Texas,Donley county,11,3.65,41.6,0.14
WestVirginia,Pleasants county,9,57.7,43.4,0.14
Texas,Knox county,9,4.39,39.5,0.14
Missouri,Monroe county,8,13.36,45.4,0.14
Montana,Liberty county,8,1.59,49.1,0.14
Indiana,Fulton county,7,54.87,41.3,0.14
Pennsylvania,Cameron county,6,11.83,52.2,0.14
Indiana,Henry county,5,123.72,42.2,0.14
Idaho,Lewis county,5,8.03,48.3,0.14
Wyoming,HotSprings county,5,2.34,49.5,0.14
Oregon,Grant county,5,1.59,52.6,0.14
Missouri,Shelby county,4,12.1,41.5,0.14
Wisconsin,Iron county,4,7.54,54.5,0.14
Colorado,Dolores county,4,1.73,51.8,0.14
Montana,JudithBasin county,4,1.04,52.2,0.14
Texas,Mason county,3,4.48,46.9,0.14
Wisconsin,Richland county,2,29.92,45.1,0.14
Nebraska,Franklin county,1,5.22,50.7,0.14
Colorado,Yuma county,1,4.26,38.4,0.14
Indiana,Jefferson county,0,89.39,40.5,0.14
Indiana,Clay county,0,73.47,40.9,0.14
NorthCarolina,Mitchell county,0,67.92,47.1,0.14
Indiana,Pulaski county,0,29.19,41.2,0.14
WestVirginia,Tucker county,0,16.77,48.7,0.14
SouthDakota,Gregory county,0,4.14,45.5,0.14
Kansas,Elk county,0,3.98,51.7,0.14
Kansas,Stanton county,0,3.03,39.6,0.14
SouthDakota,Hyde county,0,1.55,51,0.14
Wyoming,Niobrara county,0,0.93,41,0.14
NewYork,Queens county,13850,21182.5,38.7,0.13
Texas,Tarrant county,7977,2339,34.3,0.13
Florida,Broward county,7570,1578.08,40.1,0.13
Florida,PalmBeach county,6420,734.24,44.6,0.13
Florida,Pinellas county,4412,3498.4,47.8,0.13
Texas,Travis county,4358,1215.09,33.9,0.13
NewYork,Richmond county,2824,8120.95,40,0.13
Florida,Brevard county,2807,567.92,47.2,0.13
Tennessee,Hamilton county,2353,659.16,39.6,0.13
Alabama,Madison county,2155,446.06,38.5,0.13
Florida,Escambia county,2060,474.54,37.2,0.13
Ohio,Summit county,1689,1312.67,40.9,0.13
Florida,Pasco county,1502,683.64,44.6,0.13
Texas,Bell county,1375,325.62,30.8,0.13
California,SanLuisObispo county,1146,85.33,39.1,0.13
Ohio,Stark county,1120,649.21,41.9,0.13
Tennessee,Montgomery county,1090,364.24,30.6,0.13
Michigan,Washtenaw county,1089,518.39,33.4,0.13
Nebraska,Lancaster county,995,370.24,33.3,0.13
Ohio,Butler county,973,809.94,36.5,0.13
Texas,Galveston county,927,864.51,37.5,0.13
Arizona,Pinal county,884,78.22,38.9,0.13
NewYork,Niagara county,838,405.29,43.2,0.13
Delaware,Kent county,777,298.24,37.6,0.13
Michigan,Jackson county,751,226.48,41.2,0.13
Indiana,Elkhart county,720,439.59,35.5,0.13
SouthDakota,Pennington county,610,39.36,38.6,0.13
Illinois,Madison county,581,371.27,40.1,0.13
Michigan,St.Clair county,508,221.26,43.5,0.13
NewMexico,SantaFe county,484,77.99,45.8,0.13
Georgia,Bartow county,477,225.48,37.9,0.13
Georgia,Douglas county,429,708.96,36.4,0.13
NorthCarolina,Catawba county,413,393.08,41.4,0.13
Wisconsin,Kenosha county,393,618.88,38.2,0.13
Ohio,Lorain county,380,624.54,41.8,0.13
Texas,TomGreen county,375,77.18,33.9,0.13
Wisconsin,Rock county,372,225.26,39.5,0.13
Washington,Benton county,371,114.19,35.7,0.13
Iowa,Woodbury county,364,117.32,35.7,0.13
NorthCarolina,Johnston county,331,241.59,38.1,0.13
Texas,Liberty county,324,70.67,35.7,0.13
NewYork,Ulster county,313,159.49,43.7,0.13
WestVirginia,Ohio county,285,402.06,43.5,0.13
Ohio,Richland county,281,244.96,41.3,0.13
Georgia,Walton county,266,276.75,38.7,0.13
Texas,Kaufman county,266,152.31,35.6,0.13
Alabama,St.Clair county,261,138.16,40.3,0.13
NewYork,Jefferson county,250,90.22,32.4,0.13
Pennsylvania,Lycoming county,247,93.49,41.4,0.13
Pennsylvania,Mercer county,245,167.46,44.6,0.13
Washington,Skagit county,238,71.57,41.5,0.13
Pennsylvania,Northumberland county,235,201.42,44.4,0.13
Kansas,Reno county,226,50.27,40.4,0.13
Maine,Kennebec county,203,140.11,44.3,0.13
WestVirginia,Berkeley county,187,353.41,38.8,0.13
Ohio,Portage county,178,333.71,37.9,0.13
Nebraska,Hall county,178,112.29,36,0.13
NorthCarolina,Granville county,172,110.75,42.6,0.13
NewJersey,Salem county,171,190.83,42,0.13
Wisconsin,LaCrosse county,163,260.91,35.8,0.13
NorthCarolina,Brunswick county,162,149.78,52.8,0.13
Nevada,CarsonCity,159,376.52,42.8,0.13
Kentucky,Campbell county,151,609.79,38.1,0.13
Maine,Androscoggin county,150,229.62,40.7,0.13
Alabama,Limestone county,147,166.18,39.5,0.13
Washington,WallaWalla county,145,47.43,37.1,0.13
Missouri,Warren county,138,79.11,40.1,0.13
Illinois,LaSalle county,134,97.26,41.8,0.13
Texas,Chambers county,134,67.48,35.4,0.13
Oregon,Yamhill county,132,145.03,38.1,0.13
Tennessee,Jefferson county,131,194.28,43.4,0.13
Florida,Baker county,128,47.48,37.6,0.13
Virginia,Fredericksburgcity,123,2726.92,30.3,0.13
Texas,Kerr county,121,46.56,47.7,0.13
Missouri,Vernon county,121,25.04,40.9,0.13
Texas,Upshur county,118,69.94,40.9,0.13
Pennsylvania,Columbia county,115,137.07,40.8,0.13
NorthCarolina,Stokes county,101,102.27,46,0.13
Ohio,Sandusky county,100,145.18,41.8,0.13
Nebraska,Buffalo county,95,50.64,33.3,0.13
Utah,Duchesne county,90,6.24,31,0.13
Ohio,Wood county,89,210.52,34.8,0.13
Virginia,Pulaski county,87,107.03,46.3,0.13
Pennsylvania,Crawford county,84,85.12,42.9,0.13
Texas,Washington county,82,57.61,41.6,0.13
Minnesota,Mower county,82,55.67,39.1,0.13
Ohio,Belmont county,81,128.68,44.5,0.13
Indiana,Bartholomew county,78,201.26,37.7,0.13
Illinois,Macoupin county,75,52.98,43.6,0.13
Minnesota,Itasca county,75,16.94,46.1,0.13
Vermont,Windham county,73,54.95,47,0.13
Nebraska,ScottsBluff county,73,49.03,39.5,0.13
NewYork,Orleans county,72,105.24,43.2,0.13
Nebraska,Dodge county,72,69.38,39,0.13
Pennsylvania,Greene county,70,64.49,42,0.13
Virginia,Dinwiddie county,70,56.2,43.2,0.13
Ohio,Knox county,69,116.49,38.9,0.13
Michigan,Delta county,69,30.9,47,0.13
Illinois,Livingston county,68,34.78,42,0.13
Illinois,Cass county,67,33.7,39.7,0.13
Washington,Jefferson county,65,17.11,57.9,0.13
Wyoming,Fremont county,65,4.36,38.4,0.13
Wisconsin,Monroe county,64,50.51,39.5,0.13
Wisconsin,Juneau county,64,34.45,45.2,0.13
Texas,Tyler county,64,23.25,42.7,0.13
Texas,Ward county,58,13.87,33.2,0.13
Illinois,Morgan county,56,60.53,41.5,0.13
Ohio,Ashland county,54,126.44,40.3,0.13
Michigan,Menominee county,53,22.25,48.2,0.13
Virginia,ColonialHeightscity,52,2338.87,40.3,0.13
Idaho,Payette county,51,56.63,39.9,0.13
Nevada,Churchill county,51,4.87,39.5,0.13
Minnesota,Winona county,49,81.2,34.8,0.13
Georgia,Monroe county,49,68.27,43.1,0.13
Michigan,Huron county,49,37.74,49,0.13
Washington,Asotin county,47,35.11,45,0.13
Idaho,Elmore county,47,8.6,31.9,0.13
Georgia,Lee county,46,82.49,37.2,0.13
Arkansas,Dallas county,46,11.14,43.7,0.13
Ohio,Logan county,45,98.83,40.8,0.13
Kentucky,Boyle county,43,166.03,40.3,0.13
Ohio,Tuscarawas county,43,163,41,0.13
WestVirginia,Hancock county,41,359.28,46.4,0.13
Oregon,Wasco county,41,10.86,40.9,0.13
Washington,Douglas county,40,22.74,37.1,0.13
Virginia,Stauntoncity,38,1224.19,42.5,0.13
Pennsylvania,Bedford county,38,48.02,46.2,0.13
Nebraska,Dawson county,37,23.5,35.9,0.13
Georgia,Banks county,36,79.75,41.1,0.13
Missouri,Lafayette county,36,51.86,42.3,0.13
Wisconsin,Burnett county,35,18.57,52.5,0.13
Alabama,Henry county,34,30.48,44.1,0.13
Nebraska,Saline county,34,24.89,35.8,0.13
Ohio,Clinton county,33,102.51,39.9,0.13
Wisconsin,Washburn county,32,19.68,50.7,0.13
Ohio,Hocking county,31,67.63,42.9,0.13
Georgia,Fannin county,30,64.45,51.4,0.13
Colorado,Gunnison county,29,5.11,34.5,0.13
NewYork,Schoharie county,28,50.44,45.1,0.13
Minnesota,Lyon county,28,36.16,35.5,0.13
WestVirginia,Brooke county,27,255.27,46.2,0.13
Alabama,Coosa county,27,16.68,46.9,0.13
Minnesota,Todd county,26,25.86,44,0.13
Illinois,White county,24,28.35,44.1,0.13
Montana,Toole county,24,2.6,41.2,0.13
Minnesota,Martin county,23,28.03,45.3,0.13
Utah,Kane county,23,1.84,41.7,0.13
Kansas,Osage county,22,22.51,43.6,0.13
NorthCarolina,Pamlico county,21,37.86,52.1,0.13
Utah,Sevier county,21,11.05,35.2,0.13
Alabama,Bibb county,20,36.18,39.9,0.13
Texas,Jack county,20,9.71,39.7,0.13
Minnesota,Watonwan county,19,25.23,40.9,0.13
Virginia,Appomattox county,18,46.71,42.9,0.13
Minnesota,Aitkin county,18,8.69,55.1,0.13
Utah,Emery county,18,2.3,35.4,0.13
Georgia,Pike county,17,83.68,40.7,0.13
Wisconsin,Marinette county,17,28.97,48.3,0.13
Iowa,Jefferson county,15,41.51,43,0.13
Virginia,Amelia county,15,36.18,46,0.13
Virginia,Surry county,15,23.66,49.6,0.13
Illinois,Pike county,15,18.95,42.3,0.13
Texas,Clay county,14,9.54,46.2,0.13
Montana,Teton county,14,2.68,44.6,0.13
Idaho,Lemhi county,14,1.71,52.3,0.13
Nebraska,Dawes county,13,6.37,34.9,0.13
Missouri,Daviess county,12,14.74,40.5,0.13
Minnesota,YellowMedicine county,12,13,42.3,0.13
Indiana,Parke county,11,38.22,41.8,0.13
Idaho,Boise county,11,3.77,53,0.13
Wisconsin,Vilas county,10,25.21,54.1,0.13
Washington,Skamania county,10,7.02,46.3,0.13
Washington,Lincoln county,10,4.52,48.4,0.13
Idaho,Lincoln county,10,4.43,35,0.13
Kansas,Doniphan county,9,19.66,41.3,0.13
Iowa,VanBuren county,9,14.9,44.3,0.13
Missouri,Clark county,9,13.47,43.9,0.13
Kansas,Stafford county,9,5.32,44.4,0.13
Minnesota,Swift county,8,12.68,44,0.13
Missouri,Holt county,8,9.63,48.4,0.13
Illinois,Bond county,7,43.95,41.3,0.13
Kansas,Haskell county,7,7.01,36.6,0.13
Texas,SanSaba county,7,5.25,40.7,0.13
Kentucky,Livingston county,6,29.58,45.7,0.13
SouthDakota,FallRiver county,6,3.89,51.3,0.13
Kentucky,Hancock county,5,46.46,39.4,0.13
Virginia,CharlesCity county,5,38.26,50.3,0.13
Pennsylvania,Sullivan county,5,13.73,53.1,0.13
Kansas,Osborne county,5,4.04,46.7,0.13
Kansas,Washington county,4,6.17,46.5,0.13
SouthDakota,Custer county,4,5.51,54.3,0.13
SouthDakota,Clark county,4,3.84,41.3,0.13
Minnesota,Cook county,4,3.66,52.3,0.13
Kansas,Lane county,4,2.29,41.2,0.13
Kentucky,Lyon county,3,38.28,48.9,0.13
Indiana,Newton county,3,34.89,42.9,0.13
Nebraska,Richardson county,3,14.51,48,0.13
Idaho,Oneida county,3,3.6,37.9,0.13
Texas,Hardeman county,2,5.69,42.4,0.13
Colorado,Hinsdale county,2,0.79,57.5,0.13
Illinois,Scott county,1,20.11,44.1,0.13
Kansas,Smith county,1,4.09,51.6,0.13
Oregon,Sherman county,1,1.95,51.5,0.13
Texas,Stonewall county,1,1.51,52,0.13
Texas,McMullen county,1,0.58,40.2,0.13
Ohio,Huron county,0,118.94,39.6,0.13
Ohio,Williams county,0,87.74,41.2,0.13
Ohio,Carroll county,0,69.89,45.3,0.13
Indiana,Washington county,0,54.17,41.5,0.13
Indiana,Perry county,0,50.14,42.2,0.13
